id,order_date,customer_id,restaurant_id,food_id
1,5/11/2024,218,10,28
2,5/8/2024,274,7,26
3,1/6/2024,46,13,38
4,5/29/2024,135,17,34
5,4/6/2024,129,70,60
6,10/13/2024,60,16,9
7,9/16/2024,84,22,44
8,11/8/2024,4,30,41
9,1/25/2024,226,49,33
10,9/9/2024,53,41,2
11,6/12/2024,167,64,53
12,3/10/2024,233,43,43
13,8/10/2024,284,50,51
14,2/29/2024,22,69,24
15,7/7/2024,71,34,31
16,11/13/2024,294,33,57
17,5/18/2024,48,31,55
18,4/11/2024,40,15,50
19,10/19/2024,118,62,25
20,5/11/2024,86,10,57
21,9/6/2024,272,55,11
22,2/15/2024,161,35,3
23,5/27/2024,279,42,6
24,7/3/2024,129,20,8
25,3/31/2024,66,21,60
26,9/11/2024,16,31,58
27,4/16/2024,38,15,53
28,3/28/2024,154,29,20
29,2/17/2024,191,60,27
30,9/3/2024,67,12,33
31,6/29/2024,246,9,56
32,11/9/2024,265,51,37
33,12/16/2024,85,50,52
34,12/28/2024,56,34,40
35,1/23/2024,44,25,41
36,9/26/2024,226,24,29
37,6/6/2024,187,68,36
38,3/26/2024,112,63,44
39,3/31/2024,174,60,46
40,7/7/2024,289,1,3
41,8/28/2024,192,53,42
42,6/15/2024,169,5,15
43,10/28/2024,142,56,6
44,6/19/2024,146,18,41
45,2/10/2024,56,2,51
46,4/24/2024,210,13,53
47,5/17/2024,244,52,59
48,7/21/2024,195,33,29
49,12/12/2024,202,46,22
50,4/3/2024,260,31,30
51,11/8/2024,107,19,35
52,3/20/2024,121,50,11
53,10/9/2024,99,32,49
54,9/10/2024,219,64,56
55,2/28/2024,247,56,28
56,3/23/2024,82,5,57
57,3/15/2024,101,61,15
58,11/19/2024,210,12,21
59,2/10/2024,60,52,49
60,10/27/2024,255,26,35
61,1/18/2024,138,14,48
62,5/8/2024,66,51,45
63,4/12/2024,53,15,34
64,11/18/2024,288,63,19
65,12/31/2024,178,69,32
66,1/26/2024,175,28,6
67,3/26/2024,125,35,47
68,7/15/2024,235,58,10
69,3/3/2024,9,43,36
70,9/10/2024,185,53,37
71,2/15/2024,79,18,46
72,3/28/2024,69,21,5
73,3/20/2024,147,1,31
74,11/21/2024,13,16,43
75,5/9/2024,204,44,33
76,10/14/2024,162,69,52
77,2/8/2024,265,26,27
78,11/26/2024,2,38,53
79,9/22/2024,134,11,18
80,5/27/2024,270,46,9
81,9/26/2024,97,55,30
82,3/28/2024,174,27,14
83,11/22/2024,39,21,6
84,12/18/2024,256,19,36
85,9/3/2024,199,32,41
86,8/12/2024,263,4,59
87,12/24/2024,76,67,60
88,11/6/2024,152,2,35
89,9/8/2024,166,30,46
90,3/24/2024,140,10,3
91,6/10/2024,166,49,36
92,12/18/2024,14,53,30
93,6/28/2024,178,39,14
94,7/1/2024,296,20,45
95,6/26/2024,62,36,8
96,5/21/2024,243,63,41
97,1/19/2024,240,43,39
98,7/14/2024,43,30,15
99,7/29/2024,164,34,26
100,8/14/2024,160,18,47
101,7/28/2024,65,51,12
102,12/11/2024,34,8,58
103,4/9/2024,219,48,7
104,6/6/2024,128,5,35
105,1/21/2024,89,69,29
106,9/9/2024,26,60,59
107,12/27/2024,66,16,57
108,7/25/2024,235,44,11
109,3/13/2024,231,20,35
110,3/27/2024,84,56,41
111,3/13/2024,159,23,59
112,6/14/2024,33,6,50
113,10/26/2024,293,26,33
114,12/7/2024,45,48,20
115,4/10/2024,296,45,34
116,3/26/2024,237,33,45
117,10/18/2024,274,22,14
118,11/12/2024,72,18,47
119,10/17/2024,138,53,17
120,7/14/2024,153,44,7
121,1/7/2024,156,25,49
122,11/24/2024,266,15,2
123,11/3/2024,281,68,26
124,11/22/2024,13,49,24
125,1/8/2024,56,30,12
126,2/7/2024,90,41,37
127,4/3/2024,241,54,45
128,10/10/2024,59,70,44
129,5/9/2024,9,1,4
130,7/21/2024,106,36,51
131,10/10/2024,285,25,43
132,4/18/2024,124,17,49
133,12/28/2024,118,66,24
134,11/26/2024,209,33,22
135,6/13/2024,78,22,50
136,8/20/2024,267,64,1
137,6/19/2024,186,35,60
138,8/9/2024,100,39,15
139,3/14/2024,182,34,20
140,10/23/2024,236,31,54
141,8/21/2024,148,28,30
142,3/9/2024,91,12,12
143,10/2/2024,224,46,48
144,1/22/2024,41,14,13
145,1/18/2024,295,43,58
146,5/22/2024,144,36,9
147,5/12/2024,166,46,40
148,3/18/2024,190,42,33
149,4/22/2024,232,38,45
150,7/1/2024,205,7,18
151,9/15/2024,104,1,50
152,9/14/2024,283,12,7
153,8/13/2024,259,50,47
154,8/8/2024,171,9,39
155,12/19/2024,271,62,53
156,6/27/2024,42,44,13
157,2/17/2024,155,11,59
158,8/8/2024,237,66,37
159,3/4/2024,183,69,6
160,10/6/2024,46,5,10
161,12/23/2024,291,24,1
