id,name,franchise,city_id
1,Weber-Rippin,Ostrich,25
2,Batz Group,"Python, carpet",11
3,"Dach, Doyle and Ortiz","Vulture, white-rumped",11
4,Kassulke Group,Springhare,15
5,"Stamm, Brakus and Rohan",Egyptian cobra,15
6,Raynor-Dibbert,Grizzly bear,6
7,Collins-Reinger,Bald eagle,23
8,Hahn-Ruecker,"Spoonbill, european",17
9,"Paucek, Leuschke and Bins",Western bearded dragon,3
10,Bernier-Wolff,Burmese brown mountain tortoise,21
11,Buckridge-Steuber,White spoonbill,4
12,"Swift, Haley and Howe",Llama,24
13,Braun Group,Madagascar hawk owl,3
14,Herman Group,"Anteater, australian spiny",8
15,Schultz Group,"Waterbuck, defassa",8
16,"Hayes, Grant and Blick","Baboon, olive",27
17,"Hayes, Prosacco and Littel","Bird, red-billed tropic",23
18,"Mann, Langosh and Legros",Long-necked turtle,25
19,Flatley LLC,Black bear,4
20,Koelpin-Rowe,Mocking cliffchat,23
21,"Konopelski, Predovic and Pagac",Weeper capuchin,27
22,Halvorson-Shanahan,Field flicker,30
23,"Shanahan, Crist and Ondricka",Koala,13
24,Barrows-Kuhic,Long-finned pilot whale,18
25,Zemlak Group,Red-billed hornbill,14
26,Kunde-Leuschke,"Cat, jungle",29
27,Murray-Carter,Civet cat,17
28,"Bashirian, Kunze and Cronin","Otter, small-clawed",3
29,Daniel-Schaden,Common brushtail possum,14
30,Auer-Braun,"Snake, green vine",6
31,Veum-Jones,Small-spotted genet,27
32,"Tillman, Mosciski and Schmidt",Southern ground hornbill,10
33,Keebler-Ullrich,"Swan, black",8
34,Howell Inc,Common duiker,25
35,Cassin-Gulgowski,"Hyena, spotted",21
36,Hessel Inc,"Cat, civet",25
37,Paucek-Schulist,Roe deer,29
38,McGlynn-Krajcik,"Squirrel, red",6
39,Sipes LLC,Malay squirrel (unidentified),8
40,Herman-Hudson,Moose,16
41,"Senger, Nitzsche and Hand","Rabbit, eastern cottontail",7
42,Champlin-Beer,Stone sheep,13
43,Jones LLC,"Hornbill, red-billed",4
44,Hickle Group,African ground squirrel (unidentified),22
45,Rice Inc,"Flamingo, chilean",25
46,"Ondricka, Bergstrom and Gerhold","Hyena, striped",14
47,Wiza and Sons,"Phalarope, red-necked",1
48,Okuneva Inc,"Rhea, greater",27
49,Labadie-Marquardt,"Wombat, common",1
50,"Schroeder, Okuneva and Sanford",Clark's nutcracker,12
51,D'Amore Group,Giant armadillo,18
52,Mayer Group,Blue shark,8
53,"Nienow, Jakubowski and Ortiz",Herring gull,15
54,Hammes-Lehner,Yellow-billed hornbill,1
55,"Rodriguez, Fay and Flatley",Bohor reedbuck,16
56,"Schultz, Towne and Wyman","Stork, saddle-billed",15
57,Thompson-Roob,African skink,10
58,Zboncak-Carter,"Swan, black",7
59,"Schulist, Tillman and Stanton","Lion, steller sea",2
60,McKenzie-Pouros,White rhinoceros,4
61,Lockman Group,Crowned eagle,12
62,Sawayn Group,Crown of thorns starfish,1
63,"Turcotte, Powlowski and Larson","Turkey, australian brush",14
64,Gutkowski and Sons,"Squirrel, palm",15
65,Reilly-Leuschke,"Woodcock, american",29
66,Lindgren-Jerde,Gecko (unidentified),25
67,"Kunze, White and Wiegand",Mexican wolf,1
68,Paucek and Sons,"Deer, barasingha",12
69,"Rutherford, Tromp and Roberts","Drongo, fork-tailed",9
70,"Marks, Lueilwitz and Borer",Pine siskin,8
