id,name,price
1,Spaghetti Bolognese,42
2,Chicken Tikka Masala,41
3,Sushi,33
4,Hamburger,7
5,Pad Thai,12
6,Caesar Salad,22
7,Lasagna,13
8,Ramen,47
9,Tacos,49
10,Pizza,33
11,Steak,8
12,Pasta Carbonara,48
13,Curry,21
14,Fish and Chips,44
15,Pho,37
16,Burrito,50
17,Moussaka,7
18,Gyros,48
19,Sashimi,26
20,Poke Bowl,20
21,Enchiladas,24
22,Biryani,45
23,Kebab,14
24,Dim Sum,42
25,Paella,18
26,Risotto,42
27,Chili Con Carne,5
28,Shawarma,32
29,Gnocchi,39
30,Ceviche,38
31,Pierogi,12
32,Spaghetti Bolognese,42
33,Chicken Tikka Masala,33
34,Sushi,49
35,Hamburger,37
36,Pad Thai,35
37,Caesar Salad,5
38,Lasagna,19
39,Ramen,47
40,Tacos,48
41,Pizza,21
42,Steak,8
43,Pasta Carbonara,43
44,Curry,30
45,Fish and Chips,49
46,Pho,17
47,Burrito,41
48,Moussaka,47
49,Gyros,7
50,Sashimi,43
51,Poke Bowl,17
52,Enchiladas,6
53,Biryani,7
54,Kebab,22
55,Dim Sum,18
56,Paella,19
57,Risotto,31
58,Chili Con Carne,37
59,Shawarma,48
60,Gnocchi,40
